dataset,benchmark_id,benchmark_label,benchmark_scope,site_branch,subgroup_kind,subgroup_variable,horizon_year,risk,survival,n_subjects,source_stage,model_class,model_block,family,model_id,formula_name,formula_label,interaction_branch,risk_lower,risk_upper,survival_lower,survival_upper,estimate_type,reporting_status,reporting_note,support_label,support_priority,primary_supported_flag,interpretation_note,risk_set_size,event_count_by_horizon,known_nonevent_by_horizon,max_followup_year,instability_marker,model_class_label,model_display_label,model_family,latency_type,admissible_flag,admissibility_reasons,screening_flag,screening_note
PNU,NA,NA,NA,site_free,NA,NA,3,0.36968031247353605,0.630319687526464,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,4,0.41287134176339735,0.5871286582366027,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,5,0.44714579455432163,0.5528542054456784,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,6,0.475458683641039,0.524541316358961,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,7,0.49950011850977266,0.5004998814902273,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,8,0.5203306682747441,0.47966933172525594,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,9,0.5386606601633402,0.4613393398366597,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,10,0.554989498412735,0.445010501587265,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,1,0.219939056284582,0.780060943715418,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,primary_supported,1,TRUE,Common comparison horizon retained for cross-model comparability.,28,8,28,2.6694045174538,primary_supported_window,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,2,0.32013659779378845,0.6798634022062116,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,sensitivity,3,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,1,12,1,2.6694045174538,limited_support_window,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
