dataset,source_stage,model_class,model_class_label,model_block,family,model_id,benchmark_id,formula_name,formula_label,site_branch,interaction_branch,model_display_label,has_risk_rows,has_threshold_rows,has_auxiliary_rows,has_delta_rows,n_supported_horizons
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_weibull,nocure_weibull,base_siteadjusted,base_siteadjusted,site_adjusted,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_weibull,NA,base_siteadjusted,base_siteadjusted,site_adjusted,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_coxph,NA,base_siteadjusted,base_siteadjusted,site_adjusted,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_exp,NA,base_siteadjusted,base_siteadjusted,site_adjusted,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_llogis,NA,base_siteadjusted,base_siteadjusted,site_adjusted,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_lnorm,NA,base_siteadjusted,base_siteadjusted,site_adjusted,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_weibull,NA,base_siteadjusted,base_siteadjusted,site_adjusted,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_aft_sensitivity,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_coxlatency,nocure_coxph,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_coxlatency,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_exp,nocure_exp,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_exp,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_llogis,nocure_llogis,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_llogis,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_lnorm,nocure_lnorm,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_lnorm,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_weibull,nocure_weibull,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,FALSE,FALSE,FALSE,TRUE,40
