dataset,dataset_label,source_dataset,family,formula_name,site_adjustment_flag,n_subjects,n_transition,n_censored,overall_risk_5y,overall_risk_10y,cure_fraction,susceptible_fraction,susceptible_weighted_subject_latency_median_year,cohort_uncured_median_latency_year,latency_scale,loglik,aic,optimizer_method,convergence_code,warnings_text,fit_ok,scenario_type,removal_scope,removal_rank,removed_ids,removed_n,removed_max_followup_year,removed_status_mix,baseline_overall_risk_5y,baseline_overall_risk_10y,baseline_cure_fraction,baseline_weighted_subject_latency_median,baseline_cohort_uncured_median,baseline_latency_scale,delta_overall_risk_5y,delta_overall_risk_10y,delta_cure_fraction,delta_weighted_subject_latency_median,delta_cohort_uncured_median,delta_latency_scale,abs_delta_cure_fraction,abs_delta_weighted_subject_latency_median,abs_delta_cohort_uncured_median
merged_no_site,Merged,merged,lognormal,base,FALSE,261,50,211,0.2543266286863584,0.33714930208481514,0.08826452802722841,0.9117354719727716,27.92398213792964,23.221679300830264,2.6777642398625354,-177.93777667972986,369.87555335945973,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,1,SNU_21049,1,10.105407255304586,right_censoring,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,0.001770276502345569,0.0022464744289212857,0.004012860901423845,-0.979784152573842,-0.9014417236952035,-0.015585494260646371,0.004012860901423845,0.979784152573842,0.9014417236952035
merged_no_site,Merged,merged,lognormal,base,FALSE,261,50,211,0.2543266286863584,0.33714930208481514,0.08826452802722841,0.9117354719727716,27.92398213792964,23.221679300830264,2.6777642398625354,-177.93777667972986,369.87555335945973,BFGS,0,NA,TRUE,leave_one_out,late_censored,1,SNU_21049,1,10.105407255304586,right_censoring,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,0.001770276502345569,0.0022464744289212857,0.004012860901423845,-0.979784152573842,-0.9014417236952035,-0.015585494260646371,0.004012860901423845,0.979784152573842,0.9014417236952035
merged_no_site,Merged,merged,lognormal,base,FALSE,257,45,212,0.23034933201334942,0.27073907910685063,0.6559304686416122,0.3440695313583878,2.233220876363749,2.0618937270264652,1.9165903289439457,-156.53815814802354,327.0763162960471,BFGS,0,NA,TRUE,leave_last_k_out,late_event,5,SNU_21093 | SNU_21048 | SNU_21038 | SNU_21026 | SNU_21125,5,7.572895277207392,transition,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,-0.022207020170663422,-0.06416374854904322,0.5716788015158076,-26.670545414139735,-22.061227297499002,-0.7767594051792361,0.5716788015158076,26.670545414139735,22.061227297499002
merged_no_site,Merged,merged,lognormal,base,FALSE,258,46,212,0.23553397136723553,0.28352780314646375,0.6063757647078406,0.3936242352921594,3.0335252068454928,2.9738137170189876,2.063428910658425,-161.2147274858979,336.4294549717958,BFGS,0,NA,TRUE,leave_last_k_out,late_event,4,SNU_21093 | SNU_21048 | SNU_21038 | SNU_21026,4,7.572895277207392,transition,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,-0.017022380816777316,-0.0513750245094301,0.522124097582036,-25.87024108365799,-21.14930730750648,-0.6299208234647566,0.522124097582036,25.87024108365799,21.14930730750648
merged_no_site,Merged,merged,lognormal,base,FALSE,259,47,212,0.2401345073410507,0.29400906027805,0.5611662110205873,0.4388337889794128,3.9805642044578207,3.8562925421405105,2.143990805553267,-165.37410341654035,344.7482068330807,BFGS,0,NA,TRUE,leave_last_k_out,late_event,3,SNU_21093 | SNU_21048 | SNU_21038,3,7.572895277207392,transition,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,-0.012421844842962132,-0.04089376737784384,0.4769145438947827,-24.923202086045663,-20.266828482384955,-0.549358928569915,0.4769145438947827,24.923202086045663,20.266828482384955
merged_no_site,Merged,merged,lognormal,base,FALSE,260,48,212,0.24527279445859682,0.3090238077469588,0.45737583356468525,0.5426241664353147,6.68399851366574,6.731980449579851,2.340937363125403,-169.7660900004035,353.532180000807,BFGS,0,NA,TRUE,leave_last_k_out,late_event,2,SNU_21093 | SNU_21048,2,7.572895277207392,transition,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,-0.007283557725416029,-0.02587901990893504,0.3731241664388807,-22.21976777683774,-17.391140574945616,-0.3524123709977789,0.3731241664388807,22.21976777683774,17.391140574945616
merged_no_site,Merged,merged,lognormal,base,FALSE,261,49,212,0.24953629226113475,0.32237223445546764,0.3188486766163402,0.6811513233836598,12.246461306594233,12.01229555580568,2.510595500089333,-174.16111668399927,362.32223336799854,BFGS,0,NA,TRUE,leave_last_k_out,late_event,1,SNU_21093,1,7.572895277207392,transition,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,-0.003020059922878099,-0.01253059320042621,0.23459700949053564,-16.65730498390925,-12.110825468719787,-0.18275423403384883,0.23459700949053564,16.65730498390925,12.110825468719787
merged_site_adjusted,Merged (site-adjusted),merged,lognormal,site_added,TRUE,257,50,207,0.2710450556652299,0.35691173496990747,0.18110237356230663,0.8188976264376934,17.923441809453998,13.769328053609405,2.3915227429896,-172.52664777340016,363.0532955468003,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,5,SNU_21049 | SNU_21019 | SNU_21020 | SNU_21029 | SNU_21024,5,10.105407255304586,right_censoring,0.26147261109490927,0.34491780313639736,0.17284712617074563,20.74834411524679,15.614955799582788,2.4432361993560154,0.009572444570320637,0.011993931833510107,0.008255247391561,-2.8249023057927936,-1.845627745973383,-0.05171345636641522,0.008255247391561,2.8249023057927936,1.845627745973383
merged_site_adjusted,Merged (site-adjusted),merged,lognormal,site_added,TRUE,258,50,208,0.26906643091875854,0.35447933851387115,0.17845051885030605,0.821549481149694,18.557243014748614,14.136846222534235,2.401978666089395,-172.90969269153527,363.81938538307054,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,4,SNU_21049 | SNU_21019 | SNU_21020 | SNU_21029,4,10.105407255304586,right_censoring,0.26147261109490927,0.34491780313639736,0.17284712617074563,20.74834411524679,15.614955799582788,2.4432361993560154,0.007593819823849268,0.009561535377473784,0.0056033926795604205,-2.1911011004981766,-1.4781095770485528,-0.041257533266620516,0.0056033926795604205,2.1911011004981766,1.4781095770485528
merged_site_adjusted,Merged (site-adjusted),merged,lognormal,site_added,TRUE,259,50,209,0.26718176047896036,0.35230211002565504,0.17172572976869274,0.8282742702313073,19.400100889857388,14.747082046578878,2.417408496774542,-173.31397423150702,364.62794846301404,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,3,SNU_21049 | SNU_21019 | SNU_21020,3,10.105407255304586,right_censoring,0.26147261109490927,0.34491780313639736,0.17284712617074563,20.74834411524679,15.614955799582788,2.4432361993560154,0.005709149384051093,0.007384306889257675,-0.0011213964020528877,-1.3482432253894032,-0.8678737530039093,-0.02582770258147349,0.0011213964020528877,1.3482432253894032,0.8678737530039093
