scenario_id,scenario_label,dataset_scope,dataset_label,model_group,model_name,model_label,interval_type,horizon_year,estimated_survival_probability,estimated_survival_uncertainty_sd,estimated_survival_lower_95,estimated_survival_median_50,estimated_survival_upper_95,estimated_risk_probability,estimated_risk_uncertainty_sd,estimated_risk_lower_95,estimated_risk_median_50,estimated_risk_upper_95,cure_fraction,susceptible_fraction,n_subjects,full_survival_probability,full_risk_probability,full_cure_fraction,full_susceptible_fraction,survival_diff_vs_full,risk_diff_vs_full,abs_risk_diff_vs_full,cure_fraction_diff_vs_full,susceptible_fraction_diff_vs_full
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,7,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.7527912130645877,0.24720878693541226,NA,NA,0.07823805452995791,-0.07823805452995791,0.07823805452995791,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,8,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.6735500327419994,0.3264499672580006,NA,NA,0.15747923485254622,-0.15747923485254622,0.15747923485254622,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,9,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.6735500327419994,0.3264499672580006,NA,NA,0.15747923485254622,-0.15747923485254622,0.15747923485254622,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,10,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.6735500327419994,0.3264499672580006,NA,NA,0.15747923485254622,-0.15747923485254622,0.15747923485254622,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,1,0.9366183054221335,0.04495056269989422,0.7921253007039888,0.9183654471207319,0.9661804032584459,0.06338169457786647,0.04495056269989421,0.03381959674155414,0.08163455287926819,0.2078746992960112,NA,NA,208,0.949434892446517,0.05056510755348298,NA,NA,-0.012816587024383486,0.012816587024383486,0.012816587024383486,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,2,0.8774789206458281,0.07862132955193583,0.6313448434271959,0.8438208844632011,0.9335893526204464,0.12252107935417189,0.07862132955193583,0.06641064737955352,0.15617911553679886,0.368655156572804,NA,NA,208,0.9014429336820514,0.09855706631794858,NA,NA,-0.02396401303622331,0.02396401303622331,0.02396401303622331,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,3,0.8222791246874391,0.10388250911425913,0.5038020029762721,0.7759434131996866,0.9021727958388367,0.17772087531256087,0.10388250911425916,0.09782720416116328,0.22405658680031337,0.4961979970237277,NA,NA,208,0.8558922742015466,0.14410772579845343,NA,NA,-0.03361314951410743,0.03361314951410743,0.03361314951410743,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,4,0.7707394087778471,0.12277008390377772,0.40229737606605204,0.7135678215558581,0.8718865012938315,0.22926059122215292,0.12277008390377774,0.12811349870616848,0.28643217844414187,0.5977026239339478,NA,NA,208,0.8126578712447526,0.18734212875524736,NA,NA,-0.04191846246690556,0.04191846246690556,0.04191846246690556,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,5,0.7226015568525229,0.13676254586556977,0.3218355632707119,0.6562873373506444,0.842686297915934,0.2773984431474771,0.13676254586556974,0.15731370208406606,0.3437126626493557,0.678164436729288,NA,NA,208,0.7716211345534022,0.2283788654465978,NA,NA,-0.04901957770087928,0.04901957770087928,0.04901957770087928,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,6,0.6776268968141074,0.14695551878704832,0.2579886374526101,0.6034361793998613,0.8145299123801367,0.32237310318589263,0.14695551878704832,0.18547008761986328,0.3965638206001387,0.7420113625473899,NA,NA,208,0.7326695907241761,0.26733040927582385,NA,NA,-0.055042693910068774,0.055042693910068774,0.055042693910068774,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,7,0.6355947063508848,0.15417508727518126,0.20733061791585883,0.5548891022211669,0.7881780954752085,0.3644052936491152,0.15417508727518126,0.21182190452479147,0.44511089777883306,0.7926693820841413,NA,NA,208,0.6956965651722726,0.30430343482772737,NA,NA,-0.060101858821387855,0.060101858821387855,0.060101858821387855,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,8,0.5963007587201742,0.1590533458240643,0.17087400535496153,0.5105879560780859,0.7631369420300986,0.4036992412798258,0.1590533458240643,0.23686305796990142,0.48941204392191406,0.8291259946450384,NA,NA,208,0.6606008807730945,0.33939911922690547,NA,NA,-0.06430012205292035,0.06430012205292035,0.06430012205292035,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,9,0.5595559953611766,0.16208003072745295,0.13731869251525508,0.46962560902923534,0.7382868031112945,0.4404440046388234,0.16208003072745292,0.26171319688870537,0.5303743909707647,0.8626813074847449,NA,NA,208,0.6272865722994082,0.3727134277005918,NA,NA,-0.06773057693823159,0.06773057693823159,0.06773057693823159,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_exponential,No-cure exponential,95% CI,10,0.525185313505713,0.16363861451031222,0.11170848795792349,0.4321063498017223,0.7142891653405288,0.47481468649428704,0.1636386145103122,0.2857108346594711,0.5678936501982776,0.8882915120420766,NA,NA,208,0.5956626158185123,0.4043373841814877,NA,NA,-0.07047730231279936,0.07047730231279936,0.07047730231279936,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,1,0.9216843484449286,0.058520460406560816,0.750622022937843,0.8988002799885484,0.9608108173690317,0.07831565155507136,0.058520460406560816,0.039189182630968225,0.10119972001145167,0.24937797706215706,NA,NA,208,0.923258358807617,0.07674164119238303,NA,NA,-0.0015740103626883384,0.0015740103626883384,0.0015740103626883384,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,2,0.8712953096004319,0.08898955216757944,0.5863520954934138,0.8349343318198637,0.9304566104300562,0.1287046903995681,0.08898955216757944,0.06954338956994384,0.16506566818013635,0.4136479045065861,NA,NA,208,0.8773206189049575,0.1226793810950425,NA,NA,-0.006025309304525606,0.006025309304525606,0.006025309304525606,NA,NA
