dataset,model_id,parameter,mean,sd,q025,q50,q975
merged,MERGED-L1S1-LL,beta_inc[2],0.888323623893501,0.173654686092134,0.551681369232764,0.889612277752195,1.2184689764589
merged,MERGED-L1S1-LL,beta_inc[3],0.598604089170786,0.190719879356026,0.242827774377272,0.597645278324328,0.977078566030785
merged,MERGED-L1S1-LL,beta_inc[4],0.405857543945661,0.28045028731083,-0.152904773788821,0.404431851135976,0.939756929823075
merged,MERGED-L1S1-LL,beta_inc[5],0.0783164475746505,0.306032442919951,-0.518115615211188,0.0802342954215297,0.680567777977916
merged,MERGED-L1S1-LL,delta0,10.4979053262327,1.1808890945613,8.72474806194295,10.327224636974,13.2593865102365
merged,MERGED-L1S1-LL,gamma0,1.41010390448587,0.708692526298831,0.0182921422111634,1.41404343926839,2.77765011300532
merged,MERGED-L1S1-LL,gamma_lat[1],0.0583780141001997,0.532593702435146,-0.974809169997301,0.0516871944009902,1.11770232569283
merged,MERGED-L1S1-LL,gamma_lat[2],0.462234238776085,0.457874888306618,-0.397424514116106,0.46051463456408,1.39453761312653
merged,MERGED-L1S1-LL,gamma_lat[3],-0.388096642760334,0.642106755786232,-1.64144002184683,-0.393186502691311,0.856280205608182
merged,MERGED-L1S1-LL,gamma_lat[4],1.0796329145114,0.515053708907161,0.0672079729257544,1.07798809130017,2.08788029965614
merged,MERGED-L1S1-LL,psi_LL,0.284491636848182,0.129069442840295,0.0355507355740567,0.28146969949664,0.545884399198325
merged,MERGED-L1S1-LN,beta_inc[1],0.429211299320027,0.134584721542644,0.168926604792842,0.429201417051888,0.6957531945356
merged,MERGED-L1S1-LN,beta_inc[2],0.892340395751865,0.174577608993093,0.559336051066013,0.89175926450998,1.23573877984591
merged,MERGED-L1S1-LN,beta_inc[3],0.605221923459878,0.186894734544105,0.244716032790313,0.605460410770697,0.970752183541758
merged,MERGED-L1S1-LN,beta_inc[4],0.412379579757202,0.28068107404369,-0.12069816252194,0.409850726121845,0.972582204515611
merged,MERGED-L1S1-LN,beta_inc[5],0.0818162666069868,0.300936763597646,-0.505173038007467,0.0817886146885691,0.66244966946929
merged,MERGED-L1S1-LN,delta0,10.4756118916851,1.12725290148721,8.70162561727025,10.3322144720815,13.1730688571528
merged,MERGED-L1S1-LN,gamma0,1.5661469916972801,0.77616389240276,-0.0487096404859524,1.59230435014341,3.01041558902402
merged,MERGED-L1S1-LN,gamma_lat[1],0.133122300380651,0.553477417258089,-0.928861098042921,0.141198602913741,1.23697326399599
merged,MERGED-L1S1-LN,gamma_lat[2],0.458040639802933,0.466213097996875,-0.45174358903655,0.457562871055544,1.35464641286151
merged,MERGED-L1S1-LN,gamma_lat[3],-0.339894653715131,0.667352654886724,-1.67348135166218,-0.337909410174643,1.01715226580354
merged,MERGED-L1S1-LN,gamma_lat[4],1.12403772018299,0.50758915270634,0.11053671136719,1.13147156014541,2.12331570126505
merged,MERGED-L1S1-LN,log_sigma_LN,0.917739401506377,0.129404431114415,0.661166332205584,0.919473611441635,1.16916477472471
merged,MERGED-L1S1-W,beta_inc[1],0.433675163905683,0.134268337518483,0.174764252246478,0.432712336559334,0.703072358623674
