dataset,model_id,parameter,mean,sd,rhat,ess_bulk,ess_tail
merged,MERGED-L0S0-W,beta_inc[4],0.376302881658763,0.290290800045058,1.00016001877666,3702.27970683482,3116.885432348
merged,MERGED-L0S0-W,beta_inc[5],0.0840480411626799,0.295444112288458,1.00223298703734,4463.83136121417,2618.83519063768
merged,MERGED-L0S0-W,delta0,10.138957889698,1.21797819089857,0.999506440840942,1929.25449708817,2167.33003427627
merged,MERGED-L0S0-W,gamma0,1.96019164025946,0.725726686408419,0.999487756463541,1940.67798110885,2252.65436813789
merged,MERGED-L0S0-W,gamma_lat[1],-0.321779541067363,0.427273572382424,1.00412069066674,4209.44785882167,2649.5260048781
merged,MERGED-L0S0-W,gamma_lat[2],0.558705491907187,0.471671883975301,1.00148500163069,3102.06762225574,2611.90474211942
merged,MERGED-L0S0-W,rho_W,-0.408837918563909,0.134914977363251,1.00095726321614,3170.36441258993,2840.97069950505
merged,MERGED-L0S1-E,beta_inc[1],0.42233169203089,0.13046639306431,1.00078528950813,5408.13901814552,3183.4166076786
merged,MERGED-L0S1-E,beta_inc[2],0.821099351064719,0.174967487814799,0.999662993435351,4772.004890663,2915.96601197331
merged,MERGED-L0S1-E,beta_inc[3],0.619193012302012,0.189446520788513,1.00043334114355,6494.13220732919,2584.49174123683
merged,MERGED-L0S1-E,beta_inc[4],0.251074010927569,0.304746449537208,1.00039392199095,3683.780302347,3186.55997093211
merged,MERGED-L0S1-E,beta_inc[5],0.132444063871696,0.29788402075867,1.00016883223291,5480.16854046216,2537.22821802378
merged,MERGED-L0S1-E,delta0,9.23250409134393,1.06466887180957,1.00223175630576,2002.20700079576,2147.8296571431
merged,MERGED-L0S1-E,gamma0,0.312934638004523,0.62313119338681,1.00106754716621,1972.65869056115,2564.47491232526
merged,MERGED-L0S1-E,gamma_lat[1],-0.0428754126670755,0.314645617542668,1.00016116001254,4040.41574277891,3081.5906415783
merged,MERGED-L0S1-E,gamma_lat[2],0.478198073834562,0.377856736919549,1.00073180224081,3769.145820166,2921.83486375193
merged,MERGED-L0S1-E,gamma_lat[3],1.08905986425968,0.424905301025553,1.00100413388497,4088.87381341237,2902.93454442025
merged,MERGED-L0S1-LL,beta_inc[1],0.431549756662931,0.13697740382066,1.00266714246759,4892.69960169268,2439.69848814177
merged,MERGED-L0S1-LL,beta_inc[2],0.885604216231989,0.178664782804726,1.00011985677134,4315.03622414397,2707.99311234697
merged,MERGED-L0S1-LL,beta_inc[3],0.60348295906007,0.187779820141091,1.00150769402834,4733.63736676748,2614.67641223688
merged,MERGED-L0S1-LL,beta_inc[4],0.402326555861445,0.28178084292262,1.00126028719327,4126.62581192344,2917.3655655638
merged,MERGED-L0S1-LL,beta_inc[5],0.0816547769620946,0.297271045048765,1.00242274348576,4515.73362898313,2747.93378116941
merged,MERGED-L0S1-LL,delta0,10.4416202951702,1.14663286064974,1.00202583865897,2649.80894300362,2311.09098608509
merged,MERGED-L0S1-LL,gamma0,1.37437678971601,0.71199984186719,1.00136425743501,2528.65901671686,2551.41397981015
merged,MERGED-L0S1-LL,gamma_lat[1],-0.12895101381394,0.420426977753365,1.00129610072213,4508.53500199744,3060.20745638678
merged,MERGED-L0S1-LL,gamma_lat[2],0.45599213689628,0.460979980633935,1.00224400952773,3805.51519275786,2685.5115031756
merged,MERGED-L0S1-LL,gamma_lat[3],1.08174821225725,0.501616756526069,1.00101842375587,4037.67274087548,3080.80361668099
merged,MERGED-L0S1-LL,psi_LL,0.276853891231211,0.132614662449812,1.00094915055571,3381.30740140991,2821.84335782214
merged,MERGED-L0S1-LN,beta_inc[1],0.427962188091698,0.132607893137067,1.00321385664248,5126.93838997395,2655.70694817293
merged,MERGED-L0S1-LN,beta_inc[2],0.889924671824954,0.169123505065015,1.00252970358676,4748.25934917424,2806.25141566892
merged,MERGED-L0S1-LN,beta_inc[3],0.604687063934556,0.192093619698379,1.00049695653762,4966.74667211306,2699.30282658917
merged,MERGED-L0S1-LN,beta_inc[4],0.41169861569258,0.283136934518142,0.999852285022563,4519.32713334018,3099.87864701116
merged,MERGED-L0S1-LN,beta_inc[5],0.0796231945802444,0.303859833555946,1.0007350234876,4866.71799032556,2385.07408509231
merged,MERGED-L0S1-LN,delta0,10.4635953381565,1.16557447152398,1.00045394368323,2582.7246258575,2453.5500938169
merged,MERGED-L0S1-LN,gamma0,1.588953430488,0.780005322692305,1.00044464073765,2606.22386225541,2664.21764932512
merged,MERGED-L0S1-LN,gamma_lat[1],-0.0239236126504916,0.451601672157531,1.00033766647837,4781.1150310865,2786.51905554076
merged,MERGED-L0S1-LN,gamma_lat[2],0.44843799023888,0.473034177638353,1.00085720743377,4094.096501614,2746.95299843342
merged,MERGED-L0S1-LN,gamma_lat[3],1.0953453994948,0.513475637048131,1.00043564427068,4129.43653778247,3166.43334077553
merged,MERGED-L0S1-LN,log_sigma_LN,0.917437579089193,0.128245100999746,1.00205007160057,3036.91828739695,2628.04055512183
merged,MERGED-L0S1-W,beta_inc[1],0.434178582951811,0.133614511558758,1.00064392929444,4137.96336399293,2859.25241858437
merged,MERGED-L0S1-W,beta_inc[2],0.883903538311171,0.1734509266187,1.00116865543158,4347.87611952907,3148.51483445175
merged,MERGED-L0S1-W,beta_inc[3],0.603528977595702,0.188562474466586,0.99995330292712,5090.25533101091,3108.1045111295
merged,MERGED-L0S1-W,beta_inc[4],0.394133055376112,0.284804882198018,1.00124206135127,4020.41297838549,2571.69580153887
merged,MERGED-L0S1-W,beta_inc[5],0.0874814834466757,0.299165436128293,1.00073852201247,4578.60053527117,3090.16045126468
merged,MERGED-L0S1-W,delta0,10.3863623287078,1.23643969592029,1.00051528216928,1901.8131917533,1795.69351549211
merged,MERGED-L0S1-W,gamma0,1.21729255521601,0.723679887138054,1.00022427327426,2007.14008621681,2238.90995374138
merged,MERGED-L0S1-W,gamma_lat[1],-0.142756145264429,0.42696428397075,1.00133063722513,3364.78829009792,2418.63117790667
merged,MERGED-L0S1-W,gamma_lat[2],0.433286825961934,0.45650345775749,1.00190169356177,3542.18732883191,2723.72605111684
merged,MERGED-L0S1-W,gamma_lat[3],1.06475787193782,0.50227374630701,0.999782879685765,3645.44915822251,2712.32116854897
merged,MERGED-L0S1-W,rho_W,-0.367986107315858,0.131885436285731,1.00171121339872,3806.16910363993,2988.46930442649
merged,MERGED-L1S0-E,beta_inc[1],0.418384870760743,0.13083240268398,1.00034400879625,3730.95068383746,2972.34152628189
merged,MERGED-L1S0-E,beta_inc[2],0.780757197504861,0.169298109719098,1.00267743109192,3849.21285660799,2772.17274682721
merged,MERGED-L1S0-E,beta_inc[3],0.61910044511165,0.184814046984452,1.00027811688403,4214.13221988286,2802.06025000472
merged,MERGED-L1S0-E,beta_inc[4],0.149746788653497,0.287681665936376,1.00184343272226,3311.36307791014,2846.5568452791
merged,MERGED-L1S0-E,beta_inc[5],0.126494393956583,0.287430428528123,1.00067298795544,4798.68990056666,2738.34570405987
merged,MERGED-L1S0-E,delta0,8.65911847788046,0.690471679342269,1.00048833542904,2163.61209276069,1234.71734361706
