dataset,model_id,metric,horizon_year,mean__main,q025__main,q975__main,mean__wider_latency,q025__wider_latency,q975__wider_latency,delta_mean_wider_minus_main,prior_degenerate_flag__main,prior_tail_warning_flag__main,prior_degenerate_flag__wider_latency,prior_tail_warning_flag__wider_latency,prior_tail_warning_flag_any
merged,MERGED-Isite-L0S1-W,cohort_mean_cure_probability,NA,0.979632770576329,0.77633656301464,0.999999588707587,0.985255240962793,0.830114424559067,0.999999803649868,0.005622470386464018,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-W,cohort_mean_risk,1,0.0147211800971322,1.18071673314094e-8,0.130661357909022,0.00731098194089967,7.75999281795921e-15,0.0855699118849956,-0.00741019815623253,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-W,cohort_mean_risk,2,0.0165601942379724,3.75234133503381e-8,0.160058877388342,0.0084578060727888,2.52853812951206e-13,0.0897932631428124,-0.0081023881651836,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-W,cohort_mean_risk,5,0.0183970389709227,1.15369845036595e-7,0.181573092659559,0.00971640401947811,5.54690369378651e-10,0.0957940699636409,-0.008680634951444591,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-W,cohort_mean_risk,10,0.0189109306327171,1.80337281583521e-7,0.199266891071268,0.0105427576178053,5.46769501576874e-9,0.102912797153217,-0.0083681730149118,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-W,cohort_mean_susceptible_probability,NA,0.0203672294236712,4.11292411764724e-7,0.22366343698536,0.0147447590372067,1.96350131843977e-7,0.169885575440934,-0.0056224703864645,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-W,cohort_median_susceptible_time,NA,44.177883713786,0.00835685255593096,220.554667289597,1160.25182135868,3.33587099770892e-4,2223.48302579841,1116.073937644894,FALSE,TRUE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L1S0-E,LNTF,NA,0.979626025997797,0.78400200009032,0.999999799407278,0.979647553504148,0.8418946547334,0.999999719520466,2.152750635098233e-5,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-E,cohort_mean_cure_probability,NA,0.979626025997797,0.78400200009032,0.999999799407278,0.979647553504148,0.8418946547334,0.999999719520466,2.152750635098233e-5,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-E,cohort_mean_risk,1,0.0118124801947171,3.99845371941612e-8,0.123121742302115,0.00756329540868429,1.3416531012831e-8,0.0541805944050992,-0.0042491847860328105,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-E,cohort_mean_risk,2,0.0135083844003781,6.70713370633246e-8,0.15675915593439,0.00870294876009846,2.43840588350372e-8,0.0707517861443788,-0.00480543564027964,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-E,cohort_mean_risk,5,0.015647936425623,1.03495868147671e-7,0.171343006645785,0.0103626444565564,4.70305510961607e-8,0.090484882484051593,-0.0052852919690666005,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-E,cohort_mean_risk,10,0.0169993895073624,1.47996650246632e-7,0.197567164937174,0.011707019827762,7.59769832785715e-8,0.110624750046918,-0.005292369679600398,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-E,cohort_mean_susceptible_probability,NA,0.0203739740022028,2.00592722518947e-7,0.215997999909679,0.0203524464958518,2.80479535647134e-7,0.1581053452666,-2.1527506350999676e-5,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-E,cohort_median_susceptible_time,NA,27.5570426164208,0.00684530321148172,118.594885353157,264.702611961704,5.92946425923874e-4,2314.54830292783,237.1455693452832,FALSE,FALSE,FALSE,TRUE,TRUE
