timestamp,stage,dataset_key,note,run_mode,bootstrap_reps_xie,bootstrap_reps_hsu,optim_maxit,parallel_cores
2026-03-24 15:51:35.745285,dataset_completed,merged__site_free,Dataset-level screening completed.,full,499,199,5000,4
2026-03-24 15:51:35.79593,dataset_started,merged__site_adjusted,Running site-adjusted HSU branch.,full,499,199,5000,4
2026-03-24 15:57:45.343384,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 1 of 20,full,499,199,5000,4
2026-03-24 16:02:24.877258,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 2 of 20,full,499,199,5000,4
2026-03-24 16:07:26.207752,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 3 of 20,full,499,199,5000,4
2026-03-24 16:10:27.406023,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 4 of 20,full,499,199,5000,4
2026-03-24 16:13:05.721377,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 5 of 20,full,499,199,5000,4
2026-03-24 16:15:52.984534,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 6 of 20,full,499,199,5000,4
2026-03-24 16:19:17.301938,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 7 of 20,full,499,199,5000,4
2026-03-24 16:22:04.968701,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 8 of 20,full,499,199,5000,4
2026-03-24 16:24:38.010844,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 9 of 20,full,499,199,5000,4
2026-03-24 16:29:29.065918,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 10 of 20,full,499,199,5000,4
2026-03-24 16:33:31.97282,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 11 of 20,full,499,199,5000,4
2026-03-24 16:38:35.244273,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 12 of 20,full,499,199,5000,4
2026-03-24 16:40:53.132118,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 13 of 20,full,499,199,5000,4
2026-03-24 16:43:48.991961,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 14 of 20,full,499,199,5000,4
2026-03-24 16:46:59.109424,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 15 of 20,full,499,199,5000,4
2026-03-24 16:51:01.667669,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 16 of 20,full,499,199,5000,4
2026-03-24 16:53:45.401998,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 17 of 20,full,499,199,5000,4
2026-03-24 16:56:45.078897,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 18 of 20,full,499,199,5000,4
2026-03-24 17:02:41.328204,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 19 of 20,full,499,199,5000,4
2026-03-24 17:05:25.805244,bootstrap_running,NA,HSU[merged__site_adjusted] chunk 20 of 20,full,499,199,5000,4
2026-03-24 17:05:25.824213,dataset_completed,merged__site_adjusted,Completed site-adjusted HSU branch.,full,499,199,5000,4
2026-03-24 17:05:26.180638,exporting,NA,Writing final Stage 6 outputs.,full,499,199,5000,4
2026-03-24 17:05:26.251258,visualizing,NA,Writing Stage 6 plot exports.,full,499,199,5000,4
2026-03-24 17:05:30.172493,completed,NA,Stage 6 completed successfully.,full,499,199,5000,4
